cdp	depth	vel
18.0	2.8	424.9160861591181
18.0	3.8	551.4997093342714
18.0	4.8	625.5996735885345
18.0	5.8	698.4220480591752
18.0	6.8	830.0224977949886
18.0	7.8	928.3218644369445
18.0	8.8	1137.855208404722
18.0	9.8	1430.9260769347677
18.0	10.8	1540.6665129971595
18.0	11.8	1675.4048013671052
18.0	12.8	1768.0667830721213
18.0	13.8	1793.1324607746574
18.0	14.8	1828.5731254454201
18.0	15.8	1687.229008630424
18.0	16.8	1561.1798960853248
18.0	17.8	1486.6098414033745
18.0	18.8	1467.7181034320924
18.0	19.8	1479.2815921700308
18.0	20.8	1373.407417204272
18.0	21.8	1302.1866053646522
18.0	22.8	1287.2329295071097
18.0	23.8	1292.6280889946313
18.0	24.8	1304.188798352696
18.0	25.8	1277.8266665730566
18.0	26.8	1285.4392692711424
18.0	27.8	1226.222784553526
18.0	28.8	1155.1904333602001
18.0	29.8	1114.962072217591
19.0	1.8	388.1580380990911
19.0	2.8	424.9160861591181
19.0	3.8	551.4997093342714
19.0	4.8	625.5996735885345
19.0	5.8	698.4220480591752
19.0	6.8	830.0224977949886
19.0	7.8	928.3218644369445
19.0	8.8	1137.855208404722
19.0	9.8	1430.9260769347677
19.0	10.8	1540.6665129971595
19.0	11.8	1675.4048013671052
19.0	12.8	1768.0667830721213
19.0	13.8	1793.1324607746574
19.0	14.8	1828.5731254454201
19.0	15.8	1687.229008630424
19.0	16.8	1561.1798960853248
19.0	17.8	1486.6098414033745
19.0	18.8	1467.7181034320924
19.0	19.8	1479.2815921700308
19.0	20.8	1373.407417204272
19.0	21.8	1302.1866053646522
19.0	22.8	1287.2329295071097
19.0	23.8	1292.6280889946313
19.0	24.8	1304.188798352696
19.0	25.8	1277.8266665730566
19.0	26.8	1285.4392692711424
19.0	27.8	1226.222784553526
19.0	28.8	1155.1904333602001
19.0	29.8	1114.962072217591
20.0	1.8	388.1580380990911
20.0	2.8	424.9160861591181
20.0	3.8	551.4997093342714
20.0	4.8	625.5996735885345
20.0	5.8	698.4220480591752
20.0	6.8	830.0224977949886
20.0	7.8	928.3218644369445
20.0	8.8	1137.855208404722
20.0	9.8	1430.9260769347677
20.0	10.8	1540.6665129971595
20.0	11.8	1675.4048013671052
20.0	12.8	1768.0667830721213
20.0	13.8	1793.1324607746574
20.0	14.8	1828.5731254454201
20.0	15.8	1687.229008630424
20.0	16.8	1561.1798960853248
20.0	17.8	1486.6098414033745
20.0	18.8	1467.7181034320924
20.0	19.8	1479.2815921700308
20.0	20.8	1373.407417204272
20.0	21.8	1302.1866053646522
20.0	22.8	1287.2329295071097
20.0	23.8	1292.6280889946313
20.0	24.8	1304.188798352696
20.0	25.8	1277.8266665730566
20.0	26.8	1285.4392692711424
20.0	27.8	1226.222784553526
20.0	28.8	1155.1904333602001
20.0	29.8	1114.962072217591
21.0	1.8	388.1580380990911
21.0	2.8	424.9160861591181
21.0	3.8	551.4997093342714
21.0	4.8	625.5996735885345
21.0	5.8	698.4220480591752
21.0	6.8	830.0224977949886
21.0	7.8	928.3218644369445
21.0	8.8	1137.855208404722
21.0	9.8	1430.9260769347677
21.0	10.8	1540.6665129971595
21.0	11.8	1675.4048013671052
21.0	12.8	1768.0667830721213
21.0	13.8	1793.1324607746574
21.0	14.8	1828.5731254454201
21.0	15.8	1687.229008630424
21.0	16.8	1561.1798960853248
21.0	17.8	1486.6098414033745
21.0	18.8	1467.7181034320924
21.0	19.8	1479.2815921700308
21.0	20.8	1373.407417204272
21.0	21.8	1302.1866053646522
21.0	22.8	1287.2329295071097
21.0	23.8	1292.6280889946313
21.0	24.8	1304.188798352696
21.0	25.8	1277.8266665730566
21.0	26.8	1285.4392692711424
21.0	27.8	1226.222784553526
21.0	28.8	1155.1904333602001
21.0	29.8	1114.962072217591
22.0	1.8	388.1580380990911
22.0	2.8	424.9160861591181
22.0	3.8	551.4997093342714
22.0	4.8	625.5996735885345
22.0	5.8	698.4220480591752
22.0	6.8	830.0224977949886
22.0	7.8	928.3218644369445
22.0	8.8	1137.855208404722
22.0	9.8	1430.9260769347677
22.0	10.8	1540.6665129971595
22.0	11.8	1675.4048013671052
22.0	12.8	1768.0667830721213
22.0	13.8	1793.1324607746574
22.0	14.8	1828.5731254454201
22.0	15.8	1687.229008630424
22.0	16.8	1561.1798960853248
22.0	17.8	1486.6098414033745
22.0	18.8	1467.7181034320924
22.0	19.8	1479.2815921700308
22.0	20.8	1373.407417204272
22.0	21.8	1302.1866053646522
22.0	22.8	1287.2329295071097
22.0	23.8	1292.6280889946313
22.0	24.8	1304.188798352696
22.0	25.8	1277.8266665730566
22.0	26.8	1285.4392692711424
22.0	27.8	1226.222784553526
22.0	28.8	1155.1904333602001
22.0	29.8	1114.962072217591
23.0	1.8	388.1580380990911
23.0	2.8	424.9160861591181
23.0	3.8	551.4997093342714
23.0	4.8	625.5996735885345
23.0	5.8	698.4220480591752
23.0	6.8	830.0224977949886
23.0	7.8	928.3218644369445
23.0	8.8	1137.855208404722
23.0	9.8	1430.9260769347677
23.0	10.8	1540.6665129971595
23.0	11.8	1675.4048013671052
23.0	12.8	1768.0667830721213
23.0	13.8	1793.1324607746574
23.0	14.8	1828.5731254454201
23.0	15.8	1687.229008630424
23.0	16.8	1561.1798960853248
23.0	17.8	1486.6098414033745
23.0	18.8	1467.7181034320924
23.0	19.8	1479.2815921700308
23.0	20.8	1373.407417204272
23.0	21.8	1302.1866053646522
23.0	22.8	1287.2329295071097
23.0	23.8	1292.6280889946313
23.0	24.8	1304.188798352696
23.0	25.8	1277.8266665730566
23.0	26.8	1285.4392692711424
23.0	27.8	1226.222784553526
23.0	28.8	1155.1904333602001
23.0	29.8	1114.962072217591
24.0	1.8	388.1580380990911
24.0	2.8	424.9160861591181
24.0	3.8	551.4997093342714
24.0	4.8	625.5996735885345
24.0	5.8	698.4220480591752
24.0	6.8	830.0224977949886
24.0	7.8	928.3218644369445
24.0	8.8	1137.855208404722
24.0	9.8	1430.9260769347677
24.0	10.8	1540.6665129971595
24.0	11.8	1675.4048013671052
24.0	12.8	1768.0667830721213
24.0	13.8	1793.1324607746574
24.0	14.8	1828.5731254454201
24.0	15.8	1687.229008630424
24.0	16.8	1561.1798960853248
24.0	17.8	1486.6098414033745
24.0	18.8	1467.7181034320924
24.0	19.8	1479.2815921700308
24.0	20.8	1373.407417204272
24.0	21.8	1302.1866053646522
24.0	22.8	1287.2329295071097
24.0	23.8	1292.6280889946313
24.0	24.8	1304.188798352696
24.0	25.8	1277.8266665730566
24.0	26.8	1285.4392692711424
24.0	27.8	1226.222784553526
24.0	28.8	1155.1904333602001
24.0	29.8	1114.962072217591
25.0	1.8	388.1580380990911
25.0	2.8	424.9160861591181
25.0	3.8	551.4997093342714
25.0	4.8	625.5996735885345
25.0	5.8	698.4220480591752
25.0	6.8	830.0224977949886
25.0	7.8	928.3218644369445
25.0	8.8	1137.855208404722
25.0	9.8	1430.9260769347677
25.0	10.8	1540.6665129971595
25.0	11.8	1675.4048013671052
25.0	12.8	1768.0667830721213
25.0	13.8	1793.1324607746574
25.0	14.8	1828.5731254454201
25.0	15.8	1687.229008630424
25.0	16.8	1561.1798960853248
25.0	17.8	1486.6098414033745
25.0	18.8	1467.7181034320924
25.0	19.8	1479.2815921700308
25.0	20.8	1373.407417204272
25.0	21.8	1302.1866053646522
25.0	22.8	1287.2329295071097
25.0	23.8	1292.6280889946313
25.0	24.8	1304.188798352696
25.0	25.8	1277.8266665730566
25.0	26.8	1285.4392692711424
25.0	27.8	1226.222784553526
25.0	28.8	1155.1904333602001
25.0	29.8	1114.962072217591
26.0	1.8	388.1580380990911
26.0	2.8	424.9160861591181
26.0	3.8	551.4997093342714
26.0	4.8	625.5996735885345
26.0	5.8	698.4220480591752
26.0	6.8	830.0224977949886
26.0	7.8	928.3218644369445
26.0	8.8	1137.855208404722
26.0	9.8	1430.9260769347677
26.0	10.8	1540.6665129971595
26.0	11.8	1675.4048013671052
26.0	12.8	1768.0667830721213
26.0	13.8	1793.1324607746574
26.0	14.8	1828.5731254454201
26.0	15.8	1687.229008630424
26.0	16.8	1561.1798960853248
26.0	17.8	1486.6098414033745
26.0	18.8	1467.7181034320924
26.0	19.8	1479.2815921700308
26.0	20.8	1373.407417204272
26.0	21.8	1302.1866053646522
26.0	22.8	1287.2329295071097
26.0	23.8	1292.6280889946313
26.0	24.8	1304.188798352696
26.0	25.8	1277.8266665730566
26.0	26.8	1285.4392692711424
26.0	27.8	1226.222784553526
26.0	28.8	1155.1904333602001
26.0	29.8	1114.962072217591
27.0	1.8	388.1580380990911
27.0	2.8	424.9160861591181
27.0	3.8	551.4997093342714
27.0	4.8	625.5996735885345
27.0	5.8	698.4220480591752
27.0	6.8	830.0224977949886
27.0	7.8	928.3218644369445
27.0	8.8	1137.855208404722
27.0	9.8	1430.9260769347677
27.0	10.8	1540.6665129971595
27.0	11.8	1675.4048013671052
27.0	12.8	1768.0667830721213
27.0	13.8	1793.1324607746574
27.0	14.8	1828.5731254454201
27.0	15.8	1687.229008630424
27.0	16.8	1561.1798960853248
27.0	17.8	1486.6098414033745
27.0	18.8	1467.7181034320924
27.0	19.8	1479.2815921700308
27.0	20.8	1373.407417204272
27.0	21.8	1302.1866053646522
27.0	22.8	1287.2329295071097
27.0	23.8	1292.6280889946313
27.0	24.8	1304.188798352696
27.0	25.8	1277.8266665730566
27.0	26.8	1285.4392692711424
27.0	27.8	1226.222784553526
27.0	28.8	1155.1904333602001
27.0	29.8	1114.962072217591
28.0	1.8	388.1580380990911
28.0	2.8	424.9160861591181
28.0	3.8	551.4997093342714
28.0	4.8	625.5996735885345
28.0	5.8	698.4220480591752
28.0	6.8	830.0224977949886
28.0	7.8	928.3218644369445
28.0	8.8	1137.855208404722
28.0	9.8	1430.9260769347677
28.0	10.8	1540.6665129971595
28.0	11.8	1675.4048013671052
28.0	12.8	1768.0667830721213
28.0	13.8	1793.1324607746574
28.0	14.8	1828.5731254454201
28.0	15.8	1687.229008630424
28.0	16.8	1561.1798960853248
28.0	17.8	1486.6098414033745
28.0	18.8	1467.7181034320924
28.0	19.8	1479.2815921700308
28.0	20.8	1373.407417204272
28.0	21.8	1302.1866053646522
28.0	22.8	1287.2329295071097
28.0	23.8	1292.6280889946313
28.0	24.8	1304.188798352696
28.0	25.8	1277.8266665730566
28.0	26.8	1285.4392692711424
28.0	27.8	1226.222784553526
28.0	28.8	1155.1904333602001
28.0	29.8	1114.962072217591
29.0	1.8	388.1580380990911
